Cfeb-|00000000|11111111|22222222|33333333|44444444|
Ds---|01234567|01234567|01234567|01234567|01234567|
Ly Tb
0  0 |10000000|00000000|00000000|00000000|00000001|
0  1 |01000000|00000000|00000000|00000000|00000010|
0  2 |00100000|00000000|00000000|00000000|00000100|
0  3 |00010000|00000000|00000000|00000000|00001000|
0  4 |00001000|00000000|00000000|00000000|00010000|
0  5 |00000100|00000000|00000000|00000000|00100000|
0  6 |00000010|00000000|00000000|00000000|01000000|
0  7 |00000001|00000000|00000000|00000000|10000000|
0  8 |00000000|00000000|00000000|00000000|00000000|
0  9 |00000000|00000000|00000000|00000000|00000000|
0 10 |00000000|00000000|00000000|00000000|00000000|
0 11 |00000000|00000000|00000000|00000000|00000000|

1  0 |00000000|00000000|00000000|00000000|00000000|
1  1 |00000000|00000000|00000000|00000000|00000000|
1  2 |00000000|00000000|00000000|00000000|00000000|
1  3 |00000000|00000000|00000000|00000000|00000000|
1  4 |00000000|00000000|00000000|00000000|00000000|
1  5 |00000000|00000000|00000000|00000000|00000000|
1  6 |00000000|00000000|00000000|00000000|00000000|
1  7 |00000000|00000000|00000000|00000000|00000000|
1  8 |00000000|00000000|00000000|00000000|00000000|
1  9 |00000000|00000000|00000000|00000000|00000000|
1 10 |00000000|00000000|00000000|00000000|00000000|
1 11 |00000000|00000000|00000000|00000000|00000000|

2  0 |00000000|00000000|00000000|00000000|00000000|
2  1 |00000000|00000000|00000000|00000000|00000000|
2  2 |00000000|00000000|00000000|00000000|00000000|
2  3 |00000000|00000000|00000000|00000000|00000000|
2  4 |00000000|00000000|00000000|00000000|00000000|
2  5 |00000000|00000000|00000000|00000000|00000000|
2  6 |00000000|00000000|00000000|00000000|00000000|
2  7 |00000000|00000000|00000000|00000000|00000000|
2  8 |00000000|00000000|00000000|00000000|00000000|
2  9 |00000000|00000000|00000000|00000000|00000000|
2 10 |00000000|00000000|00000000|00000000|00000000|
2 11 |00000000|00000000|00000000|00000000|00000000|

3  0 |00000000|00000000|00000000|00000000|00000000|
3  1 |00000000|00000000|00000000|00000000|00000000|
3  2 |00000000|00000000|00000000|00000000|00000000|
3  3 |00000000|00000000|00000000|00000000|00000000|
3  4 |00000000|00000000|00000000|00000000|00000000|
3  5 |00000000|00000000|00000000|00000000|00000000|
3  6 |00000000|00000000|00000000|00000000|00000000|
3  7 |00000000|00000000|00000000|00000000|00000000|
3  8 |00000000|00000000|00000000|00000000|00000000|
3  9 |00000000|00000000|00000000|00000000|00000000|
3 10 |00000000|00000000|00000000|00000000|00000000|
3 11 |00000000|00000000|00000000|00000000|00000000|

4  0 |00000000|00000000|00000000|00000000|00000000|
4  1 |00000000|00000000|00000000|00000000|00000000|
4  2 |00000000|00000000|00000000|00000000|00000000|
4  3 |00000000|00000000|00000000|00000000|00000000|
4  4 |00000000|00000000|00000000|00000000|00000000|
4  5 |00000000|00000000|00000000|00000000|00000000|
4  6 |00000000|00000000|00000000|00000000|00000000|
4  7 |00000000|00000000|00000000|00000000|00000000|
4  8 |00000000|00000000|00000000|00000000|00000000|
4  9 |00000000|00000000|00000000|00000000|00000000|
4 10 |00000000|00000000|00000000|00000000|00000000|
4 11 |00000000|00000000|00000000|00000000|00000000|

5  0 |00000000|00000000|00000000|00000000|00000000|
5  1 |00000000|00000000|00000000|00000000|00000000|
5  2 |00000000|00000000|00000000|00000000|00000000|
5  3 |00000000|00000000|00000000|00000000|00000000|
5  4 |00000000|00000000|00000000|00000000|00000000|
5  5 |00000000|00000000|00000000|00000000|00000000|
5  6 |00000000|00000000|00000000|00000000|00000000|
5  7 |00000000|00000000|00000000|00000000|00000000|
5  8 |00010000|00000000|00000000|00000000|00001000|
5  9 |00100000|00000000|00000000|00000000|00000100|
5 10 |01000000|00000000|00000000|00000000|00000010|
5 11 |10000000|00000000|00000000|00000000|00000001|
